age_upon_outcome,animal_id,animal_type,outcome_subtype,outcome_type,sex_upon_outcome
8 years,A486687,Dog,,Return to Owner,Spayed Female
9 years,A486898,Dog,,Return to Owner,Neutered Male
10 years,A487013,Dog,,Return to Owner,Neutered Male
6 years,A487253,Cat,,Adoption,Neutered Male
8 years,A487253,Cat,,Adoption,Neutered Male
9 years,A487470,Dog,Aggressive,Euthanasia,Neutered Male
7 years,A488066,Dog,,Adoption,Neutered Male
8 years,A488203,Dog,,Return to Owner,Neutered Male
11 years,A488204,Dog,,Return to Owner,Neutered Male
8 years,A488234,Dog,,Return to Owner,Neutered Male
8 years,A488304,Dog,,Return to Owner,Neutered Male
8 years,A488740,Dog,Partner,Transfer,Neutered Male
10 years,A489376,Dog,,Return to Owner,Neutered Male
11 years,A489376,Dog,Medical,Euthanasia,Neutered Male
9 years,A489415,Cat,,Adoption,Neutered Male
9 years,A489417,Cat,,Adoption,Spayed Female
8 years,A489464,Dog,,Return to Owner,Spayed Female
7 years,A489503,Cat,Suffering,Euthanasia,Spayed Female
13 years,A489686,Dog,,Return to Owner,Neutered Male
14 years,A489704,Dog,,Adoption,Neutered Male
10 years,A489912,Dog,,Adoption,Neutered Male
9 years,A490091,Dog,Suffering,Euthanasia,Spayed Female
8 years,A490776,Dog,,Return to Owner,Neutered Male
9 years,A490893,Dog,,Return to Owner,Neutered Male
7 years,A491764,Dog,,Return to Owner,Spayed Female
8 years,A491810,Dog,Suffering,Euthanasia,Spayed Female
7 years,A491814,Dog,,Return to Owner,Spayed Female
7 years,A491814,Dog,,Return to Owner,Spayed Female
10 years,A491818,Dog,,Return to Owner,Spayed Female
10 years,A492030,Dog,,Return to Owner,Neutered Male
8 years,A492808,Dog,,Adoption,Neutered Male
11 years,A492949,Dog,,Return to Owner,Neutered Male
12 years,A493167,Dog,Foster,Adoption,Spayed Female
13 years,A493225,Dog,,Return to Owner,Neutered Male
13 years,A493225,Dog,,Return to Owner,Neutered Male
6 years,A493291,Dog,,Return to Owner,Neutered Male
13 years,A493761,Dog,Suffering,Euthanasia,Neutered Male
7 years,A493772,Dog,,Adoption,Neutered Male
9 years,A494120,Dog,Foster,Adoption,Neutered Male
8 years,A494120,Dog,,Adoption,Neutered Male
8 years,A494170,Dog,,Return to Owner,Neutered Male
10 years,A494176,Dog,,Return to Owner,Spayed Female
8 years,A494226,Dog,,Return to Owner,Neutered Male
11 years,A494990,Dog,Suffering,Euthanasia,Neutered Male
12 years,A495008,Dog,,Return to Owner,Neutered Male
8 years,A495060,Dog,Foster,Adoption,Spayed Female
9 years,A495060,Dog,Foster,Adoption,Spayed Female
10 years,A495308,Dog,,Return to Owner,Spayed Female
11 years,A495369,Dog,,Return to Owner,Spayed Female
9 years,A495740,Dog,,Adoption,Neutered Male
6 years,A495792,Cat,,Adoption,Neutered Male
6 years,A496561,Dog,,Return to Owner,Neutered Male
14 years,A496619,Dog,,Return to Owner,Neutered Male
7 years,A496789,Cat,Suffering,Euthanasia,Spayed Female
10 years,A497904,Dog,,Return to Owner,Spayed Female
7 years,A498100,Dog,,Return to Owner,Neutered Male
9 years,A498537,Dog,,Return to Owner,Neutered Male
10 years,A498720,Dog,Foster,Adoption,Spayed Female
8 years,A498735,Dog,,Return to Owner,Spayed Female
8 years,A498842,Dog,Aggressive,Euthanasia,Intact Male
7 years,A499024,Dog,,Return to Owner,Spayed Female
8 years,A499156,Dog,Partner,Transfer,Spayed Female
8 years,A499387,Cat,,Adoption,Spayed Female
6 years,A499457,Dog,Partner,Transfer,Neutered Male
6 years,A500002,Dog,,Return to Owner,Intact Male
7 years,A500002,Dog,Aggressive,Euthanasia,Intact Male
13 years,A500065,Cat,,Return to Owner,Neutered Male
10 years,A500073,Dog,,Return to Owner,Neutered Male
9 years,A500349,Dog,,Adoption,Neutered Male
9 years,A500361,Dog,Foster,Adoption,Spayed Female
6 years,A500862,Dog,,Return to Owner,Spayed Female
10 years,A500873,Cat,,Adoption,Spayed Female
10 years,A500955,Cat,Foster,Adoption,Neutered Male
7 years,A501071,Cat,Partner,Transfer,Neutered Male
7 years,A501076,Dog,,Return to Owner,Spayed Female
9 years,A501193,Dog,,Return to Owner,Neutered Male
8 years,A501255,Dog,,Return to Owner,Neutered Male
9 years,A501433,Dog,,Return to Owner,Neutered Male
9 years,A501443,Dog,,Adoption,Spayed Female
8 years,A501600,Dog,,Return to Owner,Neutered Male
7 years,A502125,Dog,,Return to Owner,Spayed Female
8 years,A502315,Dog,,Adoption,Neutered Male
10 years,A502800,Dog,,Return to Owner,Neutered Male
7 years,A502862,Dog,,Return to Owner,Neutered Male
7 years,A502862,Dog,,Return to Owner,Neutered Male
6 years,A503335,Dog,,Return to Owner,Neutered Male
10 years,A503370,Dog,,Return to Owner,Spayed Female
7 years,A503371,Dog,,Return to Owner,Spayed Female
7 years,A503376,Dog,Rabies Risk,Euthanasia,Intact Male
10 years,A503431,Dog,Foster,Adoption,Spayed Female
11 years,A503580,Dog,,Return to Owner,Neutered Male
7 years,A503709,Dog,,Return to Owner,Spayed Female
7 years,A503799,Dog,,Return to Owner,Spayed Female
10 years,A503957,Cat,,Adoption,Neutered Male
7 years,A504009,Dog,,Return to Owner,Neutered Male
7 years,A504009,Dog,Partner,Transfer,Neutered Male
3 years,A504094,Dog,,Return to Owner,Intact Male
9 years,A504189,Dog,,Return to Owner,Neutered Male
6 years,A504280,Dog,,Return to Owner,Neutered Male
10 years,A504391,Dog,Partner,Transfer,Spayed Female
16 years,A504723,Dog,,Rto-Adopt,Spayed Female
7 years,A504801,Cat,,Return to Owner,Neutered Male
9 years,A504813,Dog,,Return to Owner,Spayed Female
11 years,A504891,Dog,,Adoption,Intact Male
8 years,A505412,Cat,,Adoption,Spayed Female
5 years,A505682,Dog,,Return to Owner,Neutered Male
7 years,A505889,Dog,Partner,Transfer,Spayed Female
9 years,A506000,Dog,Foster,Adoption,Neutered Male
7 years,A506241,Cat,Partner,Transfer,Neutered Male
9 years,A506775,Dog,Partner,Transfer,Spayed Female
9 years,A506775,Dog,,Adoption,Spayed Female
6 years,A506854,Dog,,Return to Owner,Neutered Male
8 years,A506854,Dog,,Return to Owner,Neutered Male
9 years,A506854,Dog,,Adoption,Neutered Male
7 years,A506972,Dog,,Return to Owner,Spayed Female
6 years,A507557,Dog,,Return to Owner,Neutered Male
6 years,A507614,Dog,Aggressive,Euthanasia,Neutered Male
13 years,A507705,Cat,,Adoption,Neutered Male
11 years,A507728,Dog,Suffering,Euthanasia,Spayed Female
6 years,A508026,Dog,,Return to Owner,Spayed Female
9 years,A508027,Dog,Suffering,Euthanasia,Intact Female
11 years,A508053,Dog,,Return to Owner,Spayed Female
11 years,A508053,Dog,Partner,Transfer,Spayed Female
9 years,A508549,Dog,,Return to Owner,Spayed Female
8 years,A508692,Cat,,Adoption,Spayed Female
8 years,A509042,Cat,,Adoption,Neutered Male
12 years,A509204,Dog,Suffering,Euthanasia,Spayed Female
8 years,A509226,Cat,,Return to Owner,Neutered Male
8 years,A509228,Dog,,Return to Owner,Neutered Male
7 years,A509390,Dog,,Return to Owner,Neutered Male
6 years,A509868,Dog,,Return to Owner,Spayed Female
7 years,A510247,Dog,,Return to Owner,Neutered Male
7 years,A510247,Dog,,Return to Owner,Neutered Male
7 years,A510336,Cat,,Adoption,Neutered Male
7 years,A510475,Dog,,Return to Owner,Neutered Male
11 years,A510803,Dog,,Return to Owner,Spayed Female
6 years,A510997,Cat,Partner,Transfer,Neutered Male
7 years,A511050,Dog,,Return to Owner,Neutered Male
5 years,A511198,Dog,,Return to Owner,Neutered Male
7 years,A511822,Cat,,Adoption,Spayed Female
6 years,A512158,Cat,,Adoption,Spayed Female
6 years,A512959,Dog,,Adoption,Neutered Male
8 years,A513419,Dog,,Return to Owner,Neutered Male
8 years,A513770,Cat,,Return to Owner,Neutered Male
9 years,A513956,Dog,,Return to Owner,Spayed Female
7 years,A514005,Dog,Partner,Transfer,Neutered Male
10 years,A514009,Dog,,Return to Owner,Neutered Male
9 years,A514236,Dog,,Return to Owner,Neutered Male
8 years,A514445,Dog,,Return to Owner,Neutered Male
10 years,A514445,Dog,,Return to Owner,Neutered Male
6 years,A514631,Cat,Partner,Transfer,Neutered Male
7 years,A514866,Dog,,Return to Owner,Neutered Male
6 years,A515049,Dog,,Adoption,Neutered Male
8 years,A515112,Dog,,Return to Owner,Neutered Male
8 years,A515271,Dog,,Adoption,Neutered Male
14 years,A515347,Dog,,Return to Owner,Neutered Male
10 years,A515453,Dog,,Return to Owner,Neutered Male
10 years,A515503,Dog,,Return to Owner,Neutered Male
6 years,A515605,Dog,,Return to Owner,Spayed Female
9 years,A515661,Dog,,Return to Owner,Spayed Female
7 years,A515677,Dog,Partner,Transfer,Spayed Female
9 years,A515757,Dog,,Return to Owner,Neutered Male
9 years,A515757,Dog,,Return to Owner,Neutered Male
9 years,A515757,Dog,,Return to Owner,Neutered Male
14 years,A515831,Cat,,Adoption,Spayed Female
9 years,A516259,Dog,,Adoption,Spayed Female
10 years,A516260,Dog,Rabies Risk,Euthanasia,Spayed Female
9 years,A516577,Dog,,Adoption,Neutered Male
10 years,A516577,Dog,,Adoption,Neutered Male
6 years,A516660,Dog,,Adoption,Spayed Female
8 years,A516705,Dog,,Return to Owner,Neutered Male
5 years,A516904,Dog,,Return to Owner,Neutered Male
9 years,A517501,Cat,,Adoption,Spayed Female
10 years,A517502,Cat,,Adoption,Neutered Male
11 years,A517675,Dog,,Adoption,Spayed Female
11 years,A517675,Dog,,Adoption,Spayed Female
11 years,A517675,Dog,,Adoption,Spayed Female
6 years,A518184,Dog,,Return to Owner,Neutered Male
5 years,A518264,Dog,,Return to Owner,Neutered Male
9 years,A518545,Dog,,Return to Owner,Spayed Female
9 years,A518769,Dog,,Return to Owner,Spayed Female
8 years,A518911,Dog,,Return to Owner,Spayed Female
9 years,A518937,Dog,,Return to Owner,Spayed Female
6 years,A519025,Cat,,Adoption,Neutered Male
6 years,A519536,Cat,Partner,Transfer,Spayed Female
6 years,A519888,Dog,Aggressive,Euthanasia,Neutered Male
9 years,A519949,Dog,,Return to Owner,Spayed Female
6 years,A520040,Dog,,Return to Owner,Spayed Female
5 years,A520195,Cat,Suffering,Euthanasia,Spayed Female
5 years,A520299,Cat,Foster,Adoption,Spayed Female
8 years,A520337,Dog,,Return to Owner,Neutered Male
8 years,A520355,Dog,,Return to Owner,Neutered Male
6 years,A520572,Dog,,Return to Owner,Spayed Female
9 years,A520786,Cat,,Adoption,Spayed Female
7 years,A521224,Dog,,Return to Owner,Spayed Female
10 years,A521233,Dog,,Return to Owner,Neutered Male
7 years,A521273,Dog,,Return to Owner,Spayed Female
8 years,A521316,Dog,,Return to Owner,Spayed Female
7 years,A521520,Dog,,Return to Owner,Spayed Female
7 years,A521781,Dog,,Return to Owner,Neutered Male
6 years,A521806,Cat,Partner,Transfer,Spayed Female
7 years,A521865,Dog,,Return to Owner,Neutered Male
12 years,A521990,Dog,,Adoption,Spayed Female
10 years,A522050,Dog,,Return to Owner,Neutered Male
17 years,A522054,Dog,Partner,Transfer,Spayed Female
5 years,A522484,Cat,,Return to Owner,Spayed Female
7 years,A522774,Dog,,Return to Owner,Neutered Male
8 years,A522809,Dog,,Return to Owner,Neutered Male
9 years,A522952,Dog,Suffering,Euthanasia,Intact Female
9 years,A523102,Cat,Foster,Adoption,Neutered Male
7 years,A523114,Dog,,Return to Owner,Spayed Female
9 years,A523179,Dog,,Return to Owner,Neutered Male
5 years,A523371,Cat,,Return to Owner,Spayed Female
6 years,A523396,Dog,Aggressive,Euthanasia,Spayed Female
12 years,A523532,Dog,,Return to Owner,Intact Female
14 years,A523533,Dog,,Return to Owner,Spayed Female
5 years,A523719,Dog,,Return to Owner,Neutered Male
8 years,A524092,Dog,,Return to Owner,Spayed Female
9 years,A524092,Dog,,Adoption,Spayed Female
8 years,A524092,Dog,,Return to Owner,Spayed Female
8 years,A524092,Dog,,Return to Owner,Spayed Female
8 years,A524150,Dog,,Return to Owner,Spayed Female
8 years,A524313,Dog,Foster,Adoption,Spayed Female
8 years,A524634,Dog,Foster,Adoption,Spayed Female
7 years,A524680,Dog,,Return to Owner,Spayed Female
12 years,A524954,Dog,,Return to Owner,Spayed Female
7 years,A525136,Cat,Partner,Transfer,Spayed Female
10 years,A525511,Dog,,Return to Owner,Neutered Male
7 years,A525592,Cat,,Adoption,Spayed Female
6 years,A525768,Dog,,Adoption,Spayed Female
6 years,A525938,Dog,Aggressive,Euthanasia,Neutered Male
8 years,A526144,Dog,,Return to Owner,Neutered Male
6 years,A526237,Dog,,Return to Owner,Spayed Female
10 years,A526238,Cat,Foster,Adoption,Spayed Female
8 years,A526257,Dog,,Return to Owner,Neutered Male
10 years,A526328,Dog,,Return to Owner,Intact Male
7 years,A526641,Dog,Partner,Transfer,Neutered Male
6 years,A526647,Dog,,Return to Owner,Neutered Male
5 years,A527020,Dog,,Return to Owner,Spayed Female
6 years,A527094,Cat,,Adoption,Neutered Male
6 years,A527170,Dog,Aggressive,Euthanasia,Spayed Female
8 years,A527215,Dog,,Return to Owner,Neutered Male
11 years,A527519,Dog,Partner,Transfer,Spayed Female
10 years,A527535,Dog,Partner,Transfer,Neutered Male
7 years,A527825,Dog,Partner,Transfer,Spayed Female
9 years,A527951,Dog,,Return to Owner,Spayed Female
20 years,A528040,Dog,,Return to Owner,Spayed Female
19 years,A528040,Dog,,Return to Owner,Spayed Female
6 years,A528321,Dog,,Adoption,Spayed Female
6 years,A528322,Dog,,Adoption,Neutered Male
8 years,A528354,Cat,,Return to Owner,Spayed Female
5 years,A528477,Dog,,Return to Owner,Neutered Male
6 years,A528477,Dog,,Return to Owner,Neutered Male
6 years,A528524,Dog,,Adoption,Neutered Male
7 years,A528524,Dog,,Return to Owner,Neutered Male
10 years,A528954,Dog,,Return to Owner,Neutered Male
5 years,A528982,Dog,Partner,Transfer,Spayed Female
11 years,A529027,Dog,,Return to Owner,Spayed Female
6 years,A529211,Cat,,Return to Owner,Neutered Male
8 years,A529310,Dog,,Return to Owner,Spayed Female
10 years,A529310,Dog,,Return to Owner,Spayed Female
8 years,A529310,Dog,,Return to Owner,Spayed Female
12 years,A529318,Dog,,Adoption,Neutered Male
5 years,A529609,Dog,,Return to Owner,Spayed Female
9 years,A529630,Cat,,Adoption,Spayed Female
9 years,A529648,Dog,,Return to Owner,Neutered Male
7 years,A529766,Dog,,Return to Owner,Neutered Male
8 years,A529868,Dog,,Return to Owner,Spayed Female
6 years,A529881,Dog,,Return to Owner,Neutered Male
9 years,A529890,Dog,Aggressive,Euthanasia,Intact Male
4 years,A529956,Dog,,Return to Owner,Spayed Female
7 years,A530122,Dog,Partner,Transfer,Spayed Female
6 years,A530134,Dog,,Return to Owner,Neutered Male
9 years,A530190,Dog,Aggressive,Euthanasia,Neutered Male
15 years,A530302,Cat,,Adoption,Spayed Female
8 years,A530460,Dog,,Return to Owner,Spayed Female
7 years,A530460,Dog,,Return to Owner,Spayed Female
7 years,A530461,Dog,,Return to Owner,Spayed Female
9 years,A530547,Dog,Foster,Adoption,Neutered Male
13 years,A530589,Dog,,Return to Owner,Spayed Female
7 years,A530786,Dog,,Return to Owner,Neutered Male
6 years,A530793,Cat,Partner,Transfer,Neutered Male
5 years,A530793,Cat,Foster,Adoption,Neutered Male
8 years,A530800,Dog,,Return to Owner,Neutered Male
7 years,A531069,Dog,,Return to Owner,Neutered Male
9 years,A531234,Dog,,Return to Owner,Neutered Male
7 years,A531278,Dog,,Return to Owner,Intact Male
10 years,A531317,Dog,,Adoption,Neutered Male
8 years,A531379,Dog,,Return to Owner,Neutered Male
11 years,A531394,Dog,,Adoption,Neutered Male
9 years,A531398,Dog,,Adoption,Neutered Male
10 years,A531549,Dog,,Return to Owner,Neutered Male
6 years,A531598,Dog,,Return to Owner,Neutered Male
9 years,A531621,Dog,,Return to Owner,Neutered Male
11 years,A531698,Dog,,Return to Owner,Spayed Female
11 years,A531698,Dog,Partner,Transfer,Spayed Female
7 years,A531699,Dog,Partner,Transfer,Spayed Female
6 years,A531739,Dog,,Adoption,Neutered Male
5 years,A531739,Dog,,Adoption,Neutered Male
7 years,A531969,Dog,,Return to Owner,Neutered Male
7 years,A532017,Dog,,Adoption,Spayed Female
7 years,A532282,Dog,,Return to Owner,Spayed Female
5 years,A532351,Dog,,Return to Owner,Spayed Female
6 years,A532351,Dog,,Adoption,Spayed Female
6 years,A532406,Dog,,Adoption,Spayed Female
8 years,A532455,Dog,Suffering,Euthanasia,Neutered Male
6 years,A532505,Cat,,Return to Owner,Spayed Female
8 years,A532694,Dog,,Return to Owner,Neutered Male
8 years,A532694,Dog,,Adoption,Neutered Male
10 years,A532762,Dog,,Adoption,Neutered Male
7 years,A532925,Dog,,Return to Owner,Neutered Male
7 years,A533019,Dog,Partner,Transfer,Intact Male
7 years,A533106,Dog,,Adoption,Neutered Male
8 years,A533243,Dog,,Return to Owner,Neutered Male
9 years,A533243,Dog,Foster,Adoption,Neutered Male
5 years,A533557,Dog,Behavior,Euthanasia,Neutered Male
7 years,A533602,Dog,,Return to Owner,Spayed Female
9 years,A533602,Dog,,Adoption,Spayed Female
8 years,A533628,Cat,Partner,Transfer,Spayed Female
9 years,A533649,Dog,,Return to Owner,Spayed Female
7 years,A533795,Cat,,Return to Owner,Spayed Female
10 years,A533842,Dog,,Return to Owner,Neutered Male
11 years,A534208,Dog,,Adoption,Spayed Female
9 years,A534366,Dog,,Return to Owner,Neutered Male
7 years,A534502,Dog,,Return to Owner,Neutered Male
6 years,A534548,Dog,,Adoption,Spayed Female
5 years,A534623,Dog,,Return to Owner,Spayed Female
6 years,A534623,Dog,Partner,Transfer,Spayed Female
7 years,A534644,Dog,,Return to Owner,Neutered Male
6 years,A534780,Dog,,Adoption,Neutered Male
6 years,A534780,Dog,,Return to Owner,Neutered Male
9 years,A534780,Dog,,Adoption,Neutered Male
9 years,A534780,Dog,,Adoption,Neutered Male
8 years,A534959,Dog,,Return to Owner,Spayed Female
6 years,A534984,Dog,,Return to Owner,Neutered Male
7 years,A535012,Dog,,Return to Owner,Neutered Male
9 years,A535012,Dog,,Adoption,Neutered Male
8 years,A535071,Dog,Partner,Transfer,Neutered Male
5 years,A535124,Dog,,Adoption,Neutered Male
12 years,A535277,Dog,,Return to Owner,Neutered Male
9 years,A535292,Dog,Foster,Adoption,Neutered Male
7 years,A535375,Dog,,Return to Owner,Spayed Female
5 years,A535484,Dog,,Adoption,Neutered Male
9 years,A535492,Cat,,Adoption,Spayed Female
9 years,A535700,Dog,,Return to Owner,Neutered Male
11 years,A535768,Dog,,Adoption,Spayed Female
7 years,A535897,Cat,,Return to Owner,Spayed Female
7 years,A536035,Dog,,Return to Owner,Spayed Female
6 years,A536132,Dog,Partner,Transfer,Spayed Female
8 years,A536136,Dog,,Return to Owner,Spayed Female
8 years,A536388,Dog,,Return to Owner,Neutered Male
8 years,A536404,Dog,,Return to Owner,Spayed Female
8 years,A536404,Dog,,Adoption,Spayed Female
7 years,A536506,Dog,,Adoption,Spayed Female
8 years,A536757,Dog,,Return to Owner,Spayed Female
7 years,A537127,Dog,,Return to Owner,Neutered Male
8 years,A537127,Dog,,Return to Owner,Neutered Male
8 years,A537127,Dog,Partner,Transfer,Neutered Male
7 years,A537149,Dog,Suffering,Euthanasia,Neutered Male
6 years,A537247,Dog,Aggressive,Euthanasia,Intact Male
11 years,A537300,Dog,,Return to Owner,Neutered Male
10 years,A538092,Cat,,Return to Owner,Neutered Male
7 years,A538284,Dog,,Return to Owner,Neutered Male
8 years,A538342,Dog,,Adoption,Spayed Female
9 years,A538360,Dog,,Return to Owner,Spayed Female
7 years,A538370,Cat,,Adoption,Spayed Female
7 years,A538370,Cat,,Adoption,Spayed Female
9 years,A538454,Dog,,Return to Owner,Spayed Female
8 years,A538454,Dog,Suffering,Euthanasia,Spayed Female
5 years,A538585,Dog,Partner,Transfer,Spayed Female
7 years,A538603,Dog,,Return to Owner,Neutered Male
8 years,A538702,Cat,In Foster,Missing,Spayed Female
14 years,A538855,Cat,Partner,Transfer,Spayed Female
5 years,A538907,Cat,Partner,Transfer,Neutered Male
8 years,A539059,Dog,Partner,Transfer,Neutered Male
5 years,A539175,Dog,,Return to Owner,Neutered Male
6 years,A539388,Dog,Aggressive,Euthanasia,Spayed Female
6 years,A539485,Dog,Aggressive,Euthanasia,Neutered Male
